scc_id,size,members,dag_indegree,dag_outdegree,dag_level,external_out_edges,external_in_edges,internal_edges,source_like_score,is_source_scc,is_source_like_hub
118,1,720575941506096407,1,0,5,0,1,0,-2,False,False
119,1,720575941506099479,1,0,5,0,1,0,-2,False,False
120,1,720575941506209047,1,0,5,0,1,0,-2,False,False
121,1,720575941506239045,1,0,5,0,1,0,-2,False,False
123,1,720575941506798405,1,0,5,0,1,0,-2,False,False
124,1,720575941507532126,1,0,5,0,1,0,-2,False,False
125,1,720575941507911970,1,0,5,0,1,0,-2,False,False
126,1,720575941507925794,1,0,5,0,1,0,-2,False,False
127,1,720575941509197778,1,0,5,0,1,0,-2,False,False
128,1,720575941511200210,1,0,5,0,1,0,-2,False,False
130,1,720575941513822713,1,0,5,0,1,0,-2,False,False
131,1,720575941514525955,1,0,5,0,1,0,-2,False,False
132,1,720575941514592346,1,0,5,0,1,0,-2,False,False
133,1,720575941514812762,1,0,5,0,1,0,-2,False,False
134,1,720575941515044089,1,0,5,0,1,0,-2,False,False
135,1,720575941515116611,1,0,5,0,1,0,-2,False,False
136,1,720575941515283523,1,0,5,0,1,0,-2,False,False
137,1,720575941515531155,1,0,5,0,1,0,-2,False,False
138,1,720575941515538275,1,0,5,0,1,0,-2,False,False
139,1,720575941517242734,1,0,5,0,1,0,-2,False,False
140,1,720575941517267416,1,0,5,0,1,0,-2,False,False
141,1,720575941518109356,1,0,5,0,1,0,-2,False,False
142,1,720575941518854872,1,0,5,0,1,0,-2,False,False
143,1,720575941520197303,1,0,5,0,1,0,-2,False,False
144,1,720575941524908825,1,0,5,0,1,0,-2,False,False
145,1,720575941525980930,1,0,5,0,1,0,-2,False,False
146,1,720575941527074214,1,0,5,0,1,0,-2,False,False
151,1,720575941527535782,1,0,5,0,1,0,-2,False,False
152,1,720575941527921284,1,0,5,0,1,0,-2,False,False
153,1,720575941528136870,1,0,5,0,1,0,-2,False,False
154,1,720575941528663940,1,0,5,0,1,0,-2,False,False
